40023	1821	-864	-344	581	0
40025	1861	-887	-324	581	0
40028	1878	-911	-315	581	0
40030	1890	-917	-319	581	0
40032	1904	-946	-285	580	0
40035	1906	-960	-303	581	0
40037	1912	-962	-284	581	0
40039	1925	-983	-291	581	0
40042	1948	-988	-304	580	0
40047	1956	-1012	-298	581	0
40050	1971	-1026	-303	580	0
40052	1968	-1045	-299	581	0
40055	1965	-1040	-275	581	0
40057	1976	-1033	-284	581	0
40059	1959	-1042	-298	581	0
40062	1947	-1026	-281	581	0
40065	1936	-1036	-272	582	0
40067	1931	-1024	-277	582	0
40070	1912	-1037	-268	582	0
40072	1900	-1032	-248	582	0
40074	1851	-1022	-236	582	0
40077	1836	-1021	-218	582	0
40079	1824	-1012	-194	581	0
40082	1805	-1005	-182	581	0
40084	1787	-994	-163	581	0
40086	1778	-982	-140	581	0
40089	1769	-992	-123	581	0
40091	1762	-978	-97	581	0
40099	1770	-943	-46	582	0
40101	1758	-934	-28	582	0
40104	1765	-930	-21	582	0
40107	1780	-918	-3	582	0
40109	1786	-926	7	582	0
40111	1789	-913	25	582	0
40114	1790	-918	37	583	0
40116	1812	-901	46	583	0
40118	1815	-908	62	583	0
40120	1830	-894	94	584	0
40123	1838	-892	104	584	0
40125	1851	-891	104	584	0
40127	1851	-887	113	584	0
40129	1856	-887	124	585	0
40132	1869	-885	131	585	0
40134	1877	-887	132	585	0
40136	1862	-893	168	585	0
40139	1862	-885	165	586	0
40141	1866	-889	179	586	0
40143	1879	-898	198	586	0
40150	1886	-904	216	586	0
40152	1896	-896	209	587	0
40154	1896	-904	242	587	0
40157	1909	-903	238	587	0
40159	1904	-887	259	587	0
40161	1920	-889	269	587	0
40163	1929	-882	284	587	0
40166	1920	-892	299	587	0
40168	1947	-884	300	587	0
40170	1963	-879	323	587	0
40173	1962	-877	331	587	0
40175	1966	-893	312	587	0
40177	1978	-910	335	587	0
40179	1975	-898	354	587	0
40182	1973	-888	362	587	0
40184	1991	-885	368	587	0
40186	2008	-892	380	588	0
40189	1989	-889	387	588	0
40192	1994	-882	385	588	0
40200	1990	-860	421	588	0
40202	1976	-858	447	589	0
40205	1973	-855	439	589	0
40222	2005	-854	502	587	0
40227	2012	-863	513	587	0
40229	2026	-875	505	587	0
40231	2109	-887	442	586	0
40235	2164	-871	405	586	0
40237	2078	-814	412	586	0
40239	2121	-853	369	586	0
40242	2172	-852	363	585	0
40244	2127	-806	394	585	0
40246	2118	-835	397	585	0
40248	2155	-851	414	584	0
40251	2183	-803	450	584	0
40253	2127	-823	439	583	0
40255	2125	-848	409	583	0
40258	2169	-812	421	582	0
40260	2132	-780	419	582	0
40262	2157	-831	377	581	0
40267	2137	-791	446	580	0
40270	2136	-816	427	579	0
40272	2113	-775	455	579	0
40274	2115	-752	477	578	0
40276	2132	-796	476	578	0
40280	2096	-751	486	577	0
40282	2099	-723	477	577	0
40284	2114	-746	476	576	0
40287	2103	-703	492	576	0
40289	2120	-673	511	576	0
40291	2155	-685	491	575	0
40293	2148	-657	490	575	0
40296	2174	-651	495	575	0
40298	2224	-658	500	574	0
40300	2246	-642	510	574	0
40303	2245	-622	511	574	0
40305	2293	-629	529	574	0
40307	2317	-615	546	574	0
40309	2313	-585	535	573	0
40312	2373	-603	575	573	0
40321	2376	-602	636	573	0
40323	2369	-585	643	573	0
40325	2357	-603	665	573	0
40328	2345	-626	682	573	0
40330	2316	-607	696	573	0
40332	2294	-634	728	573	0
40335	2281	-643	752	573	0
40337	2259	-641	756	573	0
40339	2254	-640	775	574	0
40341	2229	-662	793	574	0
40344	2149	-699	667	575	0
40346	2903	-517	1338	576	0
40348	1759	-726	604	575	0
40351	2212	-664	815	575	0
40353	2215	-606	870	575	0
40355	2254	-664	754	576	0
40357	2243	-665	825	577	0
40360	2224	-617	794	577	0
40363	2226	-632	817	577	0
40369	2154	-571	879	579	0
40371	2289	-596	887	579	0
40373	2260	-531	904	580	0
40376	2245	-563	897	580	0
40378	2251	-576	901	581	0
40380	2255	-553	934	582	0
40382	2287	-555	918	583	0
40385	2282	-580	912	584	0
40387	2266	-553	947	584	0
40389	2279	-565	923	585	0
40392	2252	-569	935	586	0
40394	2285	-563	937	588	0
40396	2259	-542	925	588	0
40398	2251	-576	926	589	0
40401	2234	-564	927	590	0
40403	2239	-567	924	591	0
40406	2232	-589	916	591	0
40409	2228	-611	911	592	0
40411	2241	-598	921	593	0
40413	2272	-612	927	593	0
40421	2242	-586	930	594	0
40423	2225	-575	924	595	0
40426	2232	-562	921	596	0
40428	2238	-561	933	596	0
40430	2225	-545	934	596	0
40433	2218	-550	953	597	0
40435	2215	-539	954	597	0
40437	2204	-542	957	596	0
40440	2188	-532	963	596	0
40442	2177	-539	969	595	0
40444	2149	-526	956	595	0
40446	2138	-512	968	595	0
40450	2118	-508	977	595	0
40452	2088	-515	970	594	0
40454	2070	-504	967	594	0
40457	2068	-501	971	594	0
40459	2040	-483	968	592	0
40461	2067	-489	969	592	0
40463	2035	-485	969	591	0
40466	2047	-478	975	590	0
40471	2029	-460	970	589	0
40474	2031	-456	929	588	0
40476	2027	-452	940	587	0
40478	2015	-456	928	587	0
40481	2003	-437	943	586	0
40483	2020	-435	916	585	0
40485	2010	-454	921	585	0
40487	2007	-435	905	586	0
40491	1995	-438	907	586	0
40493	1991	-446	885	586	0
40495	1955	-436	889	587	0
40498	1959	-447	881	585	0
40500	1955	-447	866	584	0
40502	1947	-465	850	583	0
40505	1925	-473	879	582	0
40507	1906	-473	867	582	0
40509	1900	-474	882	581	0
40511	1901	-483	876	580	0
40514	1899	-478	870	580	0
40522	1815	-470	862	571	0
40524	1812	-447	880	570	0
40527	1771	-434	890	569	0
40529	1783	-438	894	569	0
40531	1766	-420	899	568	0
40535	1751	-420	899	568	0
40537	1731	-425	917	568	0
40539	1717	-420	915	568	0
40541	1724	-414	908	568	0
40544	1729	-412	890	568	0
